sensor,psi,ks_stat,ks_pvalue,severity
sensor_275,0.2383362505380732,0.13343076609339943,0.00042535006105963555,moderate
sensor_47,0.2323107523297141,0.12520562844130245,0.0011000734635675524,moderate
sensor_214,0.23019812054808875,0.1355176398613282,0.0003262809783157202,moderate
sensor_301,0.22861469048039387,0.1727924682210592,1.395470362977337e-06,moderate
sensor_8,0.2273963093891961,0.18663924954115962,1.3068157469866697e-07,moderate
sensor_46,0.2264061185300651,0.12855006457752705,0.0007313916388612633,moderate
sensor_14,0.22587036251871828,0.12740126436000265,0.0008390640428229823,moderate
sensor_561,0.22290973954088386,0.12123920875535314,0.0017716952048800862,moderate
sensor_7,0.22198514318705068,0.07250356875807218,0.16062892040798896,moderate
sensor_215,0.21812192698528082,0.20159404527224523,8.212385873933277e-09,moderate
sensor_92,0.21706232054557223,0.20384406226633128,5.020667535388131e-09,moderate
sensor_308,0.2147604296586086,0.21002990959146217,1.5544407985258189e-09,moderate
sensor_303,0.21236603208356425,0.1774182584460608,5.781882354474989e-07,moderate
sensor_474,0.2115806550079135,0.21548161239888525,5.107784882434898e-10,moderate
sensor_168,0.21086080014456954,0.18486506695669908,1.5902976929890363e-07,moderate
sensor_337,0.21049937725964463,0.2112942695941813,1.14439492686243e-09,moderate
sensor_171,0.21007585318033528,0.1760043504860309,8.198137587829093e-07,moderate
sensor_61,0.20977616231217766,0.1105295357215689,0.005729420683581285,moderate
sensor_332,0.20942057237038517,0.21023383862415884,1.4125291568779183e-09,moderate
sensor_139,0.20841315068196242,0.19432397525661077,2.9472240241573394e-08,moderate
sensor_588,0.20804754719973492,0.11860852423356666,0.002468734230879357,moderate
sensor_283,0.20751604122067435,0.11327238121133854,0.004444333929516305,moderate
sensor_68,0.20370143293221785,0.16048535109781797,8.984605595281837e-06,moderate
sensor_279,0.2025249708000802,0.15358915097546066,2.7328447192197017e-05,moderate
sensor_148,0.2016322708987623,0.10805519679151654,0.007550877870810998,moderate
sensor_408,0.2005324654120414,0.11889742369655362,0.002277861052215369,moderate
sensor_417,0.1986528089531961,0.2037081095778669,5.460207065985285e-09,moderate
sensor_493,0.19819244509291903,0.09760723268302629,0.020539976569128152,moderate
sensor_50,0.1980564033166336,0.09860648494323976,0.018789075395275426,moderate
sensor_86,0.19692837657873477,0.11430562164366809,0.003992027495550242,moderate
sensor_442,0.19465368197604968,0.1962613010672286,2.2603696052579538e-08,moderate
sensor_447,0.1942722642407268,0.11733056896200122,0.0028678819163145846,moderate
sensor_57,0.19307046557490445,0.14523825708653382,8.803019377050312e-05,moderate
sensor_421,0.19005512686815434,0.1100944871184828,0.0062055328418445035,moderate
sensor_146,0.18659679012974667,0.18786282373733942,1.0077751955913241e-07,moderate
sensor_368,0.1862877418637921,0.10943851539664196,0.006406965524461295,moderate
sensor_573,0.1862724961711496,0.10179797430494186,0.01385110765897686,moderate
sensor_196,0.1861357833284212,0.21653864455169602,4.1182882207444147e-10,moderate
sensor_2,0.18605823726115178,0.15145809258378085,3.720276848850127e-05,moderate
sensor_201,0.18586981385703547,0.21866290530895255,2.651352158022788e-10,moderate
sensor_587,0.18437141894203313,0.15414315818095303,2.3417881462564787e-05,moderate
sensor_412,0.1832251527203711,0.1687240840187615,2.57480583090006e-06,moderate
sensor_353,0.18291537934669616,0.1867378152402963,1.26999257446972e-07,moderate
sensor_307,0.18219659856720652,0.09537420977499833,0.025436100496647688,moderate
sensor_309,0.18219659856720652,0.09537420977499833,0.025436100496647688,moderate
sensor_135,0.18122188411221202,0.0986880565563184,0.018551432075610226,moderate
sensor_359,0.17773526412308563,0.08052477737747266,0.08805870235979783,moderate
sensor_366,0.1749623941668826,0.17950513221398956,4.056371190636482e-07,moderate
sensor_166,0.17187963654856242,0.14076881245326633,0.0001630940783356351,moderate
sensor_289,0.1683770358902845,0.11749031337094695,0.0028178932733403813,moderate
sensor_355,0.16650319543623102,0.15067636462511047,3.930741259209053e-05,moderate
sensor_217,0.16555736454441974,0.15398001495479574,2.3680552325034196e-05,moderate
sensor_104,0.1636835586749484,0.08817891373801919,0.047468929190877016,moderate
sensor_361,0.1618143577057004,0.17807762898511315,5.750922038009692e-07,moderate
sensor_18,0.16019671325187398,0.10578138807694926,0.009704332215308484,moderate
sensor_83,0.16009050539352293,0.170770171980151,1.9191388850599194e-06,moderate
sensor_491,0.15779859682142994,0.10769492216708582,0.007975537239448082,moderate
sensor_142,0.1564162116760841,0.08473591190265795,0.06337510388584991,moderate
sensor_75,0.1562894974545329,0.11353409013663246,0.004138129696736847,moderate
sensor_144,0.15465926159549853,0.1653898443341718,4.5839723719348985e-06,moderate
sensor_345,0.1537680026297592,0.10623682958330499,0.00889506307158774,moderate
sensor_99,0.15358667841405485,0.09142478417510702,0.03610702142783451,moderate
sensor_415,0.1501860599746344,0.0837978383522534,0.0678668337163889,moderate
sensor_198,0.1493699546828049,0.12605193392699343,0.0010436213222633562,moderate
sensor_102,0.1471568633400102,0.09250560804839913,0.032895085631726814,moderate
sensor_343,0.14579798926573972,0.1324179185643397,0.00048048797526120413,moderate
